stock_code,name_snapshot,latest_close,latest_total_cap,latest_float_cap,pb
920186,N中科仪,72.0,16116415200.0,6878194416.0,5.0
920125,鸿仕达,67.08,3767212800.0,1105581636.0,5.88
300632,光莆股份,20.39,6222653232.0,4510177428.0,3.59
688531,日联科技,100.5,16642190870.0,11535272114.0,4.87
301217,铜冠铜箔,70.98,58843523313.0,58843523313.0,10.7
300769,德方纳米,63.72,17853581272.0,16041986498.0,3.42
300438,鹏辉能源,81.0,40770812160.0,32737303278.0,7.16
300982,苏文电能,23.77,4919561520.0,4608935160.0,1.73
300209,行云科技,16.96,15749668697.0,12458134819.0,17.54
300390,天华新能,110.67,91939189708.0,74399853189.0,7.45
688515,裕太微-U,152.32,12185600000.0,7588491008.0,8.31
688059,华锐精密,140.65,14063138919.0,13161825308.0,6.48
301666,大普微-UW,295.0,128683826200.0,7822321185.0,144.4
920061,西磁科技,25.65,1815763500.0,1009696860.0,6.48
301358,湖南裕能,106.74,90018134442.0,81115796103.0,4.27
688390,固德威,101.71,24721858091.0,24721858091.0,8.69
920167,同享科技,19.19,2111408535.0,1254331552.0,3.17
920873,中设咨询,9.43,1446439429.0,1129774305.0,5.83
300745,欣锐科技,34.63,5837458588.0,4928248319.0,2.64
920425,乐创技术,22.17,1572663269.0,1312758817.0,5.46
688717,艾罗能源,116.89,18702400000.0,11577698277.0,4.22
300733,西菱动力,20.04,6125752651.0,4519267334.0,3.52
688702,盛科通信-U,323.01,132434100000.0,65568375827.0,59.34
300118,东方日升,17.12,19517037335.0,15867151210.0,2.35
301662,宏工科技,173.27,13861600000.0,5328592409.0,8.95
301292,海科新源,90.85,20240996431.0,7728486580.0,7.08
300302,同有科技,28.6,13706944623.0,10548077397.0,12.45
688485,九州一轨,54.11,8132303475.0,4802694190.0,6.5
688275,万润新能,160.77,20276065297.0,20276065297.0,3.96
301376,致欧科技,17.58,7075404581.0,3404241725.0,2.06
301260,格力博,16.73,8085958373.0,3434661957.0,1.87
920156,海昌智能,44.27,4609392400.0,961013160.0,5.34
688655,迅捷兴,38.16,5090162400.0,5090162400.0,7.8
301060,兰卫医学,10.54,4221449180.0,3796153930.0,2.66
301603,乔锋智能,112.41,13574631600.0,4241510325.0,5.43
300763,锦浪科技,95.4,37974952429.0,30680020663.0,4.2
688328,深科达,54.45,5143145263.0,5143145263.0,6.01
300124,汇川技术,67.65,183158686654.0,163047070651.0,5.03
300903,科翔股份,50.22,21865113194.0,16607131423.0,11.97
300381,溢多利,7.01,3442340842.0,3430278826.0,1.34
000980,众泰汽车,2.29,11547434322.0,11547327159.0,353.14
002522,浙江众成,6.44,5833219252.0,5828328021.0,2.5
002081,金 螳 螂,5.36,14232534973.0,14173144431.0,1.02
002786,银宝山新,7.77,3850905240.0,3839250240.0,19.33
002174,游族网络,10.18,9974475644.0,9968857048.0,2.2
600156,华升股份,11.17,4491576541.0,4491576541.0,12.16
002627,三峡旅游,7.56,5477986418.0,5421130803.0,1.77
300972,万辰集团,224.27,43556829945.0,39961220497.0,21.28
002867,周大生,13.38,14523640688.0,14438315238.0,2.14
600379,宝光股份,15.25,5035573851.0,5035573851.0,6.4
600654,中安科,4.06,11683031181.0,9408773201.0,6.93
000973,佛塑科技,21.29,52335860748.0,20596439311.0,5.72
002969,嘉美包装,22.72,24957822531.0,24816805217.0,7.66
603933,睿能科技,23.27,4829562260.0,4829562260.0,3.61
600714,金瑞矿业,20.09,5789461325.0,5789461325.0,7.69
002111,威海广泰,10.54,5607389521.0,5151434865.0,1.82
600135,乐凯胶片,10.98,6075311947.0,6075311947.0,2.58
603095,越剑智能,23.06,5955687752.0,5955687752.0,2.55
601233,桐昆股份,23.06,54859774359.0,54759941393.0,1.36
002956,西麦食品,32.51,7257756231.0,7257022026.0,4.23
605299,XD舒华体,23.62,9665930473.0,9665930473.0,7.53
002832,比音勒芬,19.67,11225808342.0,7659857646.0,1.96
002805,丰元股份,20.77,5816898291.0,5790994155.0,6.22
603508,思维列控,26.16,9974137702.0,9974137702.0,2.39
001396,誉帆科技,47.71,5100314267.0,1059502840.0,3.56
603256,宏和科技,120.62,109111216996.0,106112731050.0,39.37
002875,安奈儿,24.63,5246605557.0,4493447374.0,8.49
002192,融捷股份,99.29,25781165106.0,25727794249.0,6.65
603629,利通电子,131.29,34439992800.0,33722099080.0,15.34
603906,龙蟠科技,32.99,22600753010.0,18641953010.0,7.99
002756,永兴材料,83.8,45176709052.0,32437131456.0,3.42
605168,三人行,48.5,10224623821.0,10224623821.0,3.74
603516,淳中科技,158.05,32126551496.0,32126551496.0,18.86
603083,剑桥科技,170.71,60200945175.0,47045691155.0,7.96
603937,丽岛新材,13.86,2895222635.0,2895222635.0,1.87
603773,沃格光电,69.74,15673132785.0,15667693065.0,14.84
603738,泰晶科技,39.82,15366039931.0,15366039931.0,8.66
603279,景津装备,19.25,11095180250.0,11095180250.0,2.39
603017,中衡设计,15.29,4222949580.0,4222949580.0,2.83
600708,光明地产,3.74,8335101419.0,8322538864.0,1.4
600397,江钨装备,14.52,14374217487.0,14374217487.0,74.45
600338,西藏珠峰,27.61,25241342738.0,25241342738.0,5.59
002851,麦格米特,115.61,67241965911.0,52959998894.0,7.5
002847,盐津铺子,59.62,16258951062.0,14537783249.0,7.49
002645,华宏科技,23.43,14704676435.0,13095672520.0,3.64
002568,百润股份,18.26,19020048780.0,13933864921.0,3.77
002498,汉缆股份,9.02,30007699920.0,30007699920.0,3.4
000657,中钨高新,57.31,130586818164.0,83267151350.0,12.22
000039,中集集团,12.43,67029028386.0,28606490763.0,1.43
603026,石大胜华,119.25,27749595920.0,27749595920.0,5.34
603489,八方股份,36.75,8622210728.0,8622210728.0,3.11
002903,宇环数控,36.64,5741414720.0,3908229379.0,7.37
002842,翔鹭钨业,34.99,11447763046.0,9393497941.0,7.84
002655,共达电声,30.7,11168874900.0,11146737130.0,13.4
603345,安井食品,109.82,36601790512.0,32209572558.0,2.28
000831,中国稀土,54.03,57337760202.0,57337760202.0,11.59
600392,盛和资源,26.19,45906527868.0,45906527868.0,3.45
600111,北方稀土,50.95,184187604650.0,184187604650.0,7.2
600367,红星发展,23.22,7921059544.0,7476217286.0,3.18
000901,航天科技,23.22,18534236647.0,18534050307.0,4.36
605099,共创草坪,44.02,17719780954.0,17671957626.0,5.31
603013,亚普股份,20.03,10179637867.0,10179637867.0,2.2
002709,天赐材料,59.32,120927482654.0,89514533647.0,6.34
603317,天味食品,17.28,18398271640.0,18398271640.0,3.87
001266,宏英智能,39.52,4095747756.0,2297633599.0,4.15
001203,大中矿业,51.3,78647026316.0,66996472459.0,10.72
002378,章源钨业,32.92,39550669565.0,39343395467.0,14.54
603353,和顺石油,43.82,7532920920.0,7467716760.0,4.69
002497,雅化集团,30.28,34899593106.0,32084312982.0,3.16
001336,楚环科技,29.07,2336457645.0,1433827168.0,2.85
603139,康惠股份,36.78,3673586400.0,3673586400.0,6.73
000818,航锦科技,15.42,10177200601.0,10149620389.0,4.66
002136,安 纳 达,15.31,3291956200.0,3283317686.0,3.02
603803,瑞斯康达,14.87,6318018493.0,6318018493.0,4.11
002818,富森美,12.23,9153652836.0,3648635656.0,1.53
000567,海德股份,6.06,11844828459.0,11808151388.0,1.97
002354,天娱数科,5.95,9844785629.0,9672877985.0,7.16
603399,永杉锂业,17.63,9031684142.0,9031684142.0,5.58
002176,江特电机,16.09,27454778598.0,27408139786.0,9.29
000551,创元科技,15.76,7639392805.0,7636463904.0,2.51
000716,黑芝麻,5.18,3899939379.0,3826410766.0,1.54
000692,惠天热电,4.96,2642851561.0,2642851561.0,14.25
605006,山东玻纤,12.13,7278586777.0,7278586777.0,2.97
605158,华达新材,7.83,4004418600.0,4004418600.0,1.63
002079,苏州固锝,11.69,10615996716.0,9475677336.0,2.97
002348,高乐股份,10.59,10030848000.0,9568414459.0,25.21
002210,飞马国际,3.31,8808680482.0,8788936580.0,9.4
002652,扬子新材,6.18,3164555520.0,3164555520.0,13.48
600186,莲花控股,10.82,19397713416.0,19358476309.0,10.27
002548,金新农,5.08,4207122183.0,4086715179.0,4.02
002520,日发精机,5.75,4313909733.0,4125280983.0,14.57
000402,金 融 街,2.88,8608118132.0,8607323367.0,0.43
600545,卓郎智能,5.43,9708363365.0,9708363365.0,3.7
301638,南网数字,28.98,92146263665.0,6809725008.0,8.21
