stock_code,trade_time,trade_date,open,close,high,low,volume,amount,change_pct,change,turnover_ratio,pre_close
002960,2025-01-02 00:00:00,2025-01-02,9.6,9.19,9.63,9.07,9004500,103023658.07,-3.87,-0.37,1.45,9.56
002960,2025-01-03 00:00:00,2025-01-03,9.2,8.72,9.23,8.67,11814400,129365329.18,-5.11,-0.47,1.91,9.19
002960,2025-01-06 00:00:00,2025-01-06,8.73,8.78,8.95,8.59,8373700,89789087.95,0.69,0.06,1.35,8.72
002960,2025-01-07 00:00:00,2025-01-07,8.81,8.83,8.87,8.68,5334200,57279060.4,0.57,0.05,0.86,8.78
002960,2025-01-08 00:00:00,2025-01-08,8.81,8.5,8.83,8.28,13464700,139818158.53,-3.74,-0.33,2.17,8.83
002960,2025-01-09 00:00:00,2025-01-09,8.42,8.78,8.98,8.34,13641900,145056792.63,3.29,0.28,2.2,8.5
002960,2025-01-10 00:00:00,2025-01-10,8.98,8.6,9.37,8.59,12863400,140014282.67,-2.05,-0.18,2.08,8.78
002960,2025-01-13 00:00:00,2025-01-13,8.91,8.83,9.3,8.68,16443400,180074447.34,2.67,0.23,2.65,8.6
002960,2025-01-14 00:00:00,2025-01-14,8.83,9.73,9.73,8.83,30564100,352921582.3,10.19,0.9,5.0,8.83
002960,2025-01-15 00:00:00,2025-01-15,9.87,9.59,9.92,9.48,23812200,282107837.42,-1.44,-0.14,3.9,9.73
002960,2025-01-16 00:00:00,2025-01-16,9.63,9.72,10.01,9.52,16013800,190534295.37,1.36,0.13,2.62,9.59
002960,2025-01-17 00:00:00,2025-01-17,9.64,9.71,9.82,9.63,9587500,113708921.69,-0.1,-0.01,1.57,9.72
002960,2025-01-20 00:00:00,2025-01-20,9.77,9.65,9.82,9.61,9551900,113059738.76,-0.62,-0.06,1.56,9.71
002960,2025-01-21 00:00:00,2025-01-21,9.67,9.43,9.7,9.38,10504000,121422477.77,-2.28,-0.22,1.72,9.65
002960,2025-01-22 00:00:00,2025-01-22,9.39,9.29,9.47,9.27,8686300,98949894.35,-1.48,-0.14,1.42,9.43
002960,2025-01-23 00:00:00,2025-01-23,9.4,9.38,9.64,9.33,10342300,119399236.66,0.97,0.09,1.69,9.29
002960,2025-01-24 00:00:00,2025-01-24,9.33,9.61,9.67,9.32,9656800,112625367.4,2.45,0.23,1.58,9.38
002960,2025-01-27 00:00:00,2025-01-27,9.63,9.37,9.68,9.33,7754500,89447430.16,-2.5,-0.24,1.27,9.61
002960,2025-02-05 00:00:00,2025-02-05,9.4,9.21,9.43,9.15,8046500,90954543.28,-1.71,-0.16,1.32,9.37
002960,2025-02-06 00:00:00,2025-02-06,9.17,9.59,9.6,9.08,11171500,128804695.26,4.13,0.38,1.83,9.21
002960,2025-02-07 00:00:00,2025-02-07,9.54,9.58,9.68,9.46,11039800,129111043.94,-0.1,-0.01,1.81,9.59
002960,2025-02-10 00:00:00,2025-02-10,9.57,9.58,9.61,9.43,7868000,91591040.22,0.0,0.0,1.29,9.58
002960,2025-02-11 00:00:00,2025-02-11,9.56,9.64,9.74,9.42,11242500,131157524.44,0.63,0.06,1.84,9.58
002960,2025-02-12 00:00:00,2025-02-12,9.73,9.97,10.22,9.73,21660400,263851622.96,3.42,0.33,3.55,9.64
002960,2025-02-13 00:00:00,2025-02-13,9.75,9.42,9.75,9.42,21478400,250106186.9,-5.52,-0.55,3.52,9.97
002960,2025-02-14 00:00:00,2025-02-14,9.48,9.64,9.69,9.42,14117500,165369298.72,2.34,0.22,2.31,9.42
002960,2025-02-17 00:00:00,2025-02-17,9.6,9.66,9.75,9.58,10441500,123122662.51,0.21,0.02,1.71,9.64
002960,2025-02-18 00:00:00,2025-02-18,9.63,9.71,9.97,9.6,22888000,274105920.67,0.52,0.05,3.75,9.66
002960,2025-02-19 00:00:00,2025-02-19,9.56,10.2,10.38,9.52,27042700,331491152.35,5.05,0.49,4.43,9.71
002960,2025-02-20 00:00:00,2025-02-20,10.2,10.22,10.29,9.96,18489000,228135250.57,0.2,0.02,3.03,10.2
002960,2025-02-21 00:00:00,2025-02-21,10.27,10.58,10.67,10.27,30493000,390571363.2,3.52,0.36,4.99,10.22
002960,2025-02-24 00:00:00,2025-02-24,10.58,10.33,10.58,10.28,16641300,210343800.06,-2.36,-0.25,2.72,10.58
002960,2025-02-25 00:00:00,2025-02-25,10.21,10.23,10.41,10.15,12930600,161837572.71,-0.97,-0.1,2.12,10.33
002960,2025-02-26 00:00:00,2025-02-26,10.24,10.39,10.53,10.2,14657700,185680275.28,1.56,0.16,2.4,10.23
002960,2025-02-27 00:00:00,2025-02-27,10.37,10.18,10.39,9.99,13092300,162212456.82,-2.02,-0.21,2.14,10.39
002960,2025-02-28 00:00:00,2025-02-28,10.11,9.85,10.17,9.8,11777700,142657773.44,-3.24,-0.33,1.93,10.18
002960,2025-03-03 00:00:00,2025-03-03,9.85,9.89,10.13,9.85,8445400,102793042.6,0.41,0.04,1.38,9.85
002960,2025-03-04 00:00:00,2025-03-04,9.84,10.9,10.9,9.82,50406900,661993403.67,10.21,1.01,8.25,9.89
002960,2025-03-05 00:00:00,2025-03-05,11.37,10.99,12.01,10.97,80912400,1130847062.59,0.83,0.09,13.24,10.9
002960,2025-03-06 00:00:00,2025-03-06,11.03,11.18,11.45,10.85,62127900,841908057.81,1.73,0.19,10.17,10.99
002960,2025-03-07 00:00:00,2025-03-07,11.13,10.88,11.24,10.78,34455400,460700041.54,-2.68,-0.3,5.64,11.18
002960,2025-03-10 00:00:00,2025-03-10,10.93,11.16,11.35,10.82,36884800,498536573.67,2.57,0.28,6.04,10.88
002960,2025-03-11 00:00:00,2025-03-11,10.87,11.09,11.14,10.83,21870000,292747090.83,-0.63,-0.07,3.58,11.16
002960,2025-03-12 00:00:00,2025-03-12,11.0,11.21,11.23,10.83,28446800,382560117.33,1.08,0.12,4.66,11.09
002960,2025-03-13 00:00:00,2025-03-13,11.08,10.77,11.1,10.58,23325700,307440149.12,-3.93,-0.44,3.82,11.21
002960,2025-03-14 00:00:00,2025-03-14,10.68,10.96,11.01,10.64,17044300,225143279.24,1.76,0.19,2.79,10.77
002960,2025-03-17 00:00:00,2025-03-17,10.95,10.96,11.17,10.79,15530900,206902069.33,0.0,0.0,2.54,10.96
002960,2025-03-18 00:00:00,2025-03-18,11.09,11.14,11.42,11.02,22577200,308223694.21,1.64,0.18,3.7,10.96
002960,2025-03-19 00:00:00,2025-03-19,11.06,10.85,11.08,10.78,14862200,196712616.62,-2.6,-0.29,2.43,11.14
002960,2025-03-20 00:00:00,2025-03-20,10.85,10.85,10.97,10.71,11386500,150473865.1,0.0,0.0,1.86,10.85
002960,2025-03-21 00:00:00,2025-03-21,10.83,10.56,11.05,10.53,16849000,220076690.5,-2.67,-0.29,2.76,10.85
002960,2025-03-24 00:00:00,2025-03-24,10.55,10.24,10.6,10.03,15197500,189984667.01,-3.03,-0.32,2.48,10.56
002960,2025-03-25 00:00:00,2025-03-25,10.19,10.25,10.33,10.12,8696800,108631427.87,0.1,0.01,1.42,10.24
002960,2025-03-26 00:00:00,2025-03-26,10.23,10.22,10.39,10.18,8892500,111480718.22,-0.29,-0.03,1.45,10.25
002960,2025-03-27 00:00:00,2025-03-27,10.18,10.08,10.22,9.98,9664300,118879623.3,-1.37,-0.14,1.58,10.22
002960,2025-03-28 00:00:00,2025-03-28,10.0,10.04,10.17,10.0,8624100,106046107.77,-0.4,-0.04,1.39,10.08
002960,2025-03-31 00:00:00,2025-03-31,9.98,9.81,9.98,9.71,10544900,126455334.08,-2.29,-0.23,1.7,10.04
002960,2025-04-01 00:00:00,2025-04-01,9.84,9.9,9.96,9.81,7249100,87514790.1,0.92,0.09,1.17,9.81
002960,2025-04-02 00:00:00,2025-04-02,9.9,10.02,10.13,9.88,7737700,94644974.74,1.21,0.12,1.25,9.9
