stock_code,change_date,total_shares,limit_shares,list_a_shares,change_reason
002125,2007-03-09,50400000,50400000.0,0,上市前股本
002125,2007-03-19,75400000,55400000.0,20000000,首发A股上市
002125,2007-07-03,75400000,50400000.0,25000000,网下配售股份上市
002125,2008-04-03,75400000,47714400.0,27685600,首发限售股份上市
002125,2009-05-12,75400000,43970400.0,31429600,首发限售股份上市
002125,2009-06-30,75400000,43972725.0,31427275,定期报告
002125,2010-04-06,75400000,2325.0,75397675,首发限售股份上市
002125,2011-06-09,86956635,11558960.0,75397675,增发A股上市
002125,2012-06-11,86956635,3382325.0,83574310,网下配售股份上市
002125,2012-06-18,139130616,5411720.0,133718896,转增股上市
002125,2013-12-31,139130616,5412960.0,133717656,股份性质变更
002125,2014-06-09,139130616,4960.0,139125656,网下配售股份上市
002125,2014-06-30,139130616,2480.0,139128136,高管股份变动
002125,2015-01-22,161843991,22715855.0,139128136,增发A股上市
002125,2015-06-30,161843991,22713375.0,139130616,高管股份变动
002125,2016-01-07,215999991,76869375.0,139130616,增发A股上市
002125,2016-11-01,345599985,122991000.0,222608985,转增股上市
002125,2017-12-31,345599985,122991000.0,222608985,股份性质变更
002125,2018-01-26,345599985,86649600.0,258950385,网下配售股份上市
002125,2019-01-21,345599985,,345599985,网下配售股份上市
002125,2019-04-16,552959976,,552959976,转增股上市
002125,2020-04-29,629481713,76521737.0,552959976,增发A股上市
002125,2020-11-23,629481713,36231883.0,593249830,网下配售股份上市
002125,2022-06-30,629481713,36231883.0,593249830,股份性质变更
002125,2023-05-26,629481713,,629481713,网下配售股份上市
002125,2025-12-31,629486843,,629486843,债转股上市
002125,2026-03-31,629510571,,629510571,债转股上市
002125,2026-04-25,629511333,,629511333,债转股上市
