stock_code,trade_time,trade_date,open,close,high,low,volume,amount,change_pct,change,turnover_ratio,pre_close
002318,2025-01-02 00:00:00,2025-01-02,22.4,22.03,22.83,21.79,5684000,132274031.11,-1.96,-0.44,0.6,22.47
002318,2025-01-03 00:00:00,2025-01-03,22.04,21.8,22.51,21.7,8745100,199964066.83,-1.04,-0.23,0.92,22.03
002318,2025-01-06 00:00:00,2025-01-06,21.75,21.87,21.99,21.56,8546600,193930971.8,0.32,0.07,0.9,21.8
002318,2025-01-07 00:00:00,2025-01-07,21.87,21.86,22.05,21.51,7259900,165099172.0,-0.05,-0.01,0.76,21.87
002318,2025-01-08 00:00:00,2025-01-08,21.76,22.25,22.38,21.41,6630900,151397950.0,1.78,0.39,0.69,21.86
002318,2025-01-09 00:00:00,2025-01-09,22.1,21.93,22.35,21.75,5296000,121676276.43,-1.44,-0.32,0.55,22.25
002318,2025-01-10 00:00:00,2025-01-10,22.04,21.91,22.29,21.82,3722500,85368792.67,-0.09,-0.02,0.39,21.93
002318,2025-01-13 00:00:00,2025-01-13,21.78,22.14,22.27,21.78,5017000,115572235.51,1.05,0.23,0.53,21.91
002318,2025-01-14 00:00:00,2025-01-14,22.06,22.41,22.6,21.95,7572400,176215283.83,1.22,0.27,0.79,22.14
002318,2025-01-15 00:00:00,2025-01-15,22.31,22.91,23.12,22.31,5923900,140814234.75,2.23,0.5,0.62,22.41
002318,2025-01-16 00:00:00,2025-01-16,23.05,22.93,23.15,22.7,6128100,146317068.0,0.09,0.02,0.64,22.91
002318,2025-01-17 00:00:00,2025-01-17,22.91,23.16,23.2,22.67,5673600,135743497.5,1.0,0.23,0.59,22.93
002318,2025-01-20 00:00:00,2025-01-20,23.26,23.39,23.5,23.22,5969900,145058652.46,0.99,0.23,0.63,23.16
002318,2025-01-21 00:00:00,2025-01-21,23.41,23.56,23.56,23.16,4085200,99690737.48,0.73,0.17,0.43,23.39
002318,2025-01-22 00:00:00,2025-01-22,23.45,23.44,23.63,23.2,4262200,103806878.5,-0.51,-0.12,0.45,23.56
002318,2025-01-23 00:00:00,2025-01-23,23.66,23.41,23.73,23.28,5319200,129891246.17,-0.13,-0.03,0.56,23.44
