stock_code,change_date,total_shares,limit_shares,list_a_shares,change_reason
002514,2010-11-12,51000000,51000000.0,0,上市前股本
002514,2010-11-22,68000000,54390000.0,13610000,首发A股上市
002514,2011-03-03,68000000,51000000.0,17000000,网下配售股份上市
002514,2011-12-05,68000000,44000000.0,24000000,首发限售股份上市
002514,2012-06-11,108800000,70400000.0,38400000,转增股上市
002514,2013-12-03,108800000,,108800000,首发限售股份上市
002514,2014-04-28,217600000,,217600000,转增股上市
002514,2014-06-30,217600000,100.0,217599900,高管股份变动
002514,2014-10-07,217600000,50.0,217599950,高管股份变动
002514,2014-10-08,277017132,59417182.0,217599950,增发A股上市
002514,2014-12-31,277017132,59417132.0,217600000,高管股份变动
002514,2015-06-30,277017132,66392182.0,210624950,高管股份变动
002514,2015-10-20,277017132,56463104.0,220554028,网下配售股份上市
002514,2015-12-08,277017132,99213054.0,177804078,高管股份变动
002514,2015-12-09,277017132,105963054.0,171054078,其他变动原因
002514,2016-05-27,554034264,211926108.0,342108156,转增股上市
002514,2016-08-08,554034264,198426108.0,355608156,其他限售股上市
002514,2016-12-31,554034264,198582358.0,355451906,高管股份变动
002514,2017-06-06,554034264,173838330.0,380195934,网下配售股份上市
002514,2017-06-30,554034264,195570476.0,358463788,高管股份变动
002514,2018-06-30,554034264,166029080.0,388005184,高管股份变动
002514,2019-06-30,554034264,148490705.0,405543559,高管股份变动
002514,2021-06-30,554034264,156705209.0,397329055,高管股份变动
002514,2021-12-31,554034264,,554034264,高管股份变动
002514,2022-08-15,720034264,166000000.0,554034264,增发A股上市
