fund_code,trade_time,trade_date,open,high,low,close,volume,amount,change,change_pct
510050,2019-01-02 00:00:00,2019-01-02,1.941,1.944,1.896,1.905,757076490,1712496900.0,-0.031,-1.601
510050,2019-01-03 00:00:00,2019-01-03,1.905,1.934,1.9,1.911,623733180,1412693900.0,0.006,0.315
510050,2019-01-04 00:00:00,2019-01-04,1.898,1.962,1.896,1.96,1094084990,2504025100.0,0.049,2.564
510050,2019-01-07 00:00:00,2019-01-07,1.97,1.975,1.949,1.957,589783490,1362653400.0,-0.003,-0.153
510050,2019-01-08 00:00:00,2019-01-08,1.957,1.957,1.944,1.95,390830540,898453540.0,-0.007,-0.358
510050,2019-01-09 00:00:00,2019-01-09,1.963,2.003,1.961,1.975,1027410890,2401047900.0,0.025,1.282
510050,2019-01-10 00:00:00,2019-01-10,1.975,1.99,1.964,1.978,541955930,1261251530.0,0.003,0.152
510050,2019-01-11 00:00:00,2019-01-11,1.981,2.005,1.978,1.997,614010420,1438014500.0,0.019,0.961
510050,2019-01-14 00:00:00,2019-01-14,1.992,1.996,1.974,1.975,435158840,1014762940.0,-0.022,-1.102
510050,2019-01-15 00:00:00,2019-01-15,1.98,2.022,1.978,2.02,1155168240,2720673400.0,0.045,2.278
510050,2019-01-16 00:00:00,2019-01-16,2.018,2.027,2.007,2.024,477096230,1129702840.0,0.004,0.198
510050,2019-01-17 00:00:00,2019-01-17,2.028,2.041,2.012,2.015,396594290,942012680.0,-0.009,-0.445
510050,2019-01-18 00:00:00,2019-01-18,2.025,2.064,2.023,2.059,625110480,1498472800.0,0.044,2.184
510050,2019-01-21 00:00:00,2019-01-21,2.057,2.087,2.056,2.074,536180320,1300447870.0,0.015,0.729
510050,2019-01-22 00:00:00,2019-01-22,2.073,2.073,2.04,2.046,618466060,1485736000.0,-0.028,-1.35
510050,2019-01-23 00:00:00,2019-01-23,2.039,2.058,2.034,2.042,550387690,1318478510.0,-0.004,-0.196
510050,2019-01-24 00:00:00,2019-01-24,2.045,2.057,2.027,2.053,548431510,1314224680.0,0.011,0.539
510050,2019-01-25 00:00:00,2019-01-25,2.062,2.095,2.057,2.083,842665200,2049554400.0,0.03,1.461
510050,2019-01-28 00:00:00,2019-01-28,2.097,2.115,2.071,2.08,463932680,1135339870.0,-0.003,-0.144
510050,2019-01-29 00:00:00,2019-01-29,2.076,2.104,2.067,2.098,578963960,1409218100.0,0.018,0.865
510050,2019-01-30 00:00:00,2019-01-30,2.085,2.105,2.081,2.087,451049530,1101487890.0,-0.011,-0.524
