fund_code,short_name,net_value,source
159671,稀有金属ETF工银,1.626,eastmoney_fallback
159608,稀有金属ETF广发,1.33,eastmoney_fallback
562800,稀有金属ETF嘉实,1.155,eastmoney_fallback
561800,稀有金属ETF华富,1.235,eastmoney_fallback
159715,稀土ETF易方达,1.345,eastmoney_fallback
516780,稀土ETF华泰柏瑞,1.959,eastmoney_fallback
159796,电池ETF汇添富,1.128,eastmoney_fallback
159368,创业板新能源ETF华夏,1.674,eastmoney_fallback
516150,稀土ETF嘉实,2.021,eastmoney_fallback
159261,创业板新能源ETF鹏华,1.755,eastmoney_fallback
562880,电池ETF嘉实,0.986,eastmoney_fallback
159149,创业板新能源ETF工银,1.077,eastmoney_fallback
159155,电池ETF大成,1.119,eastmoney_fallback
159387,创业板新能源ETF国泰,0.925,eastmoney_fallback
561160,电池ETF富国,0.966,eastmoney_fallback
159122,创业板新能源ETF富国,1.124,eastmoney_fallback
159713,稀土ETF富国,1.463,eastmoney_fallback
159187,创业板新能源ETF景顺,1.071,eastmoney_fallback
159009,创业板新能源ETF易方达,1.097,eastmoney_fallback
561910,电池ETF招商,0.961,eastmoney_fallback
159147,电池ETF南方,1.125,eastmoney_fallback
159190,创业板新能源ETF天弘,1.064,eastmoney_fallback
159160,电池ETF东财,1.111,eastmoney_fallback
159840,锂电池ETF工银,0.996,eastmoney_fallback
516660,新能源车ETF华安,1.302,eastmoney_fallback
512460,电池ETF华夏,1.119,eastmoney_fallback
515700,新能源车ETF平安,2.853,eastmoney_fallback
159156,电池ETF万家,1.164,eastmoney_fallback
159175,电池ETF易方达,1.186,eastmoney_fallback
159824,新能源车ETF博时,1.422,eastmoney_fallback
560410,电池ETF鹏华,1.118,eastmoney_fallback
159637,新能源车ETF东财,1.059,eastmoney_fallback
515030,新能源车ETF华夏,2.13,eastmoney_fallback
159755,电池ETF广发,1.241,eastmoney_fallback
159767,电池龙头ETF兴银,1.009,eastmoney_fallback
516390,新能源车ETF汇添富,1.151,eastmoney_fallback
159806,新能源车ETF国泰,0.932,eastmoney_fallback
588960,科创新能源ETF富国,1.535,eastmoney_fallback
159757,电池ETF景顺,1.028,eastmoney_fallback
159775,电池ETF建信,1.033,eastmoney_fallback
589960,科创新能源ETF易方达,1.173,eastmoney_fallback
560290,有色ETF景顺,0.918,eastmoney_fallback
512940,有色ETF华安,0.941,eastmoney_fallback
588830,科创新能源ETF鹏华,1.685,eastmoney_fallback
561330,矿业ETF国泰,2.147,eastmoney_fallback
159157,有色金属ETF天弘,0.907,eastmoney_fallback
159183,新能源车ETF招商,1.143,eastmoney_fallback
560860,工业有色ETF万家,1.741,eastmoney_fallback
512400,有色金属ETF南方,2.133,eastmoney_fallback
159690,有色矿业ETF招商,2.186,eastmoney_fallback
159168,有色ETF富国,0.942,eastmoney_fallback
159880,有色ETF鹏华,2.151,eastmoney_fallback
159871,有色ETF银华,1.078,eastmoney_fallback
159876,有色ETF华宝,1.108,eastmoney_fallback
159163,有色ETF泰康,0.848,eastmoney_fallback
159652,有色ETF汇添富,1.841,eastmoney_fallback
159881,有色金属ETF国泰,2.063,eastmoney_fallback
516650,有色金属ETF华夏,2.079,eastmoney_fallback
159162,工业有色ETF鹏华,0.894,eastmoney_fallback
159875,新能源ETF嘉实,0.777,eastmoney_fallback
159171,工业有色ETF博时,0.866,eastmoney_fallback
516160,新能源ETF南方,3.288,eastmoney_fallback
159305,储能电池ETF广发,2.069,eastmoney_fallback
516580,新能源ETF博时,0.768,eastmoney_fallback
159566,储能电池ETF易方达,2.335,eastmoney_fallback
516850,新能源ETF华夏,1.205,eastmoney_fallback
159752,新能源ETF申万菱信,0.779,eastmoney_fallback
159667,工业母机ETF国泰,2.025,eastmoney_fallback
516090,新能源ETF易方达,0.645,eastmoney_fallback
159944,材料ETF广发,1.664,eastmoney_fallback
516270,新能源ETF华安,0.757,eastmoney_fallback
159906,深成长ETF大成,1.825,eastmoney_fallback
562010,绿色能源ETF华宝,1.086,eastmoney_fallback
516020,化工ETF华宝,1.015,eastmoney_fallback
159663,机床ETF华夏,2.003,eastmoney_fallback
513750,港股通非银ETF广发,1.592,eastmoney_fallback
560000,智能电车ETF浦银,0.937,eastmoney_fallback
159642,碳中和ETF大成,1.099,eastmoney_fallback
516220,化工ETF国泰,1.056,eastmoney_fallback
516120,化工ETF富国,1.037,eastmoney_fallback
159129,化工ETF嘉实,1.25,eastmoney_fallback
159870,化工ETF鹏华,0.955,eastmoney_fallback
159133,化工ETF天弘,1.284,eastmoney_fallback
