fund_code,trade_time,trade_date,open,high,low,close,volume,amount,change,change_pct
515010,2019-11-07 00:00:00,2019-11-07,0.961,0.97,0.955,0.962,11968220,11499854.0,,
515010,2019-11-08 00:00:00,2019-11-08,0.961,0.974,0.953,0.956,9862920,9501586.2,-0.006,-0.624
515010,2019-11-11 00:00:00,2019-11-11,0.956,0.956,0.933,0.936,8833620,8312332.6,-0.02,-2.092
515010,2019-11-12 00:00:00,2019-11-12,0.933,0.94,0.928,0.935,4277677,3994393.4,-0.001,-0.107
515010,2019-11-13 00:00:00,2019-11-13,0.929,0.935,0.923,0.925,2602700,2417244.7,-0.01,-1.07
515010,2019-11-14 00:00:00,2019-11-14,0.911,0.935,0.911,0.927,4243100,3941597.5,0.002,0.216
515010,2019-11-15 00:00:00,2019-11-15,0.927,0.932,0.914,0.92,3256688,3006139.7,-0.007,-0.755
515010,2019-11-18 00:00:00,2019-11-18,0.923,0.935,0.918,0.93,6234565,5797092.0,0.01,1.087
515010,2019-11-19 00:00:00,2019-11-19,0.929,0.94,0.929,0.94,3914988,3661904.8,0.01,1.075
515010,2019-11-20 00:00:00,2019-11-20,0.938,0.939,0.927,0.927,3618100,3370825.4,-0.013,-1.383
515010,2019-11-21 00:00:00,2019-11-21,0.927,0.929,0.922,0.925,990600,916432.0,-0.002,-0.216
515010,2019-11-22 00:00:00,2019-11-22,0.927,0.937,0.919,0.924,4083800,3790050.5,-0.001,-0.108
515010,2019-11-25 00:00:00,2019-11-25,0.928,0.928,0.916,0.927,4223792,3897358.5,0.003,0.325
515010,2019-11-26 00:00:00,2019-11-26,0.923,0.928,0.92,0.926,2701900,2497225.6,-0.001,-0.108
515010,2019-11-27 00:00:00,2019-11-27,0.926,0.927,0.917,0.92,2850988,2624063.3,-0.006,-0.648
515010,2019-11-28 00:00:00,2019-11-28,0.917,0.923,0.917,0.92,1680300,1544037.9,0.0,0.0
515010,2019-11-29 00:00:00,2019-11-29,0.917,0.928,0.917,0.922,3258316,3003287.4,0.002,0.217
515010,2019-12-02 00:00:00,2019-12-02,0.929,0.94,0.928,0.928,3307600,3096020.8,0.006,0.651
515010,2019-12-03 00:00:00,2019-12-03,0.926,0.938,0.923,0.938,3530790,3285510.6,0.01,1.078
515010,2019-12-04 00:00:00,2019-12-04,0.933,0.935,0.928,0.93,1115700,1037714.6,-0.008,-0.853
515010,2019-12-05 00:00:00,2019-12-05,0.934,0.947,0.934,0.945,5960290,5609846.0,0.015,1.613
515010,2019-12-06 00:00:00,2019-12-06,0.947,0.95,0.942,0.949,3981080,3768487.3,0.004,0.423
515010,2019-12-09 00:00:00,2019-12-09,0.952,0.955,0.947,0.95,1588300,1510995.8,0.001,0.105
515010,2019-12-10 00:00:00,2019-12-10,0.945,0.947,0.941,0.946,2597426,2454392.7,-0.004,-0.421
515010,2019-12-11 00:00:00,2019-12-11,0.947,0.957,0.942,0.948,4854700,4611420.1,0.002,0.211
515010,2019-12-12 00:00:00,2019-12-12,0.947,0.948,0.942,0.944,1706000,1611194.2,-0.004,-0.422
515010,2019-12-13 00:00:00,2019-12-13,0.953,0.988,0.953,0.981,21484200,20911710.0,0.037,3.919
515010,2019-12-16 00:00:00,2019-12-16,0.98,1.001,0.975,0.997,8590800,8503130.2,0.016,1.631
515010,2019-12-17 00:00:00,2019-12-17,0.997,1.049,0.99,1.017,73431860,75398965.0,0.02,2.006
515010,2019-12-18 00:00:00,2019-12-18,1.019,1.039,1.009,1.023,31522550,32434086.0,0.006,0.59
515010,2019-12-19 00:00:00,2019-12-19,1.023,1.026,1.012,1.018,13727383,13982660.0,-0.005,-0.489
515010,2019-12-20 00:00:00,2019-12-20,1.017,1.045,1.017,1.024,22194113,22973022.0,0.006,0.589
515010,2019-12-23 00:00:00,2019-12-23,1.018,1.037,0.999,0.999,10830646,11051156.6,-0.025,-2.441
515010,2019-12-24 00:00:00,2019-12-24,1.004,1.011,0.998,1.009,3820600,3837981.1,0.01,1.001
515010,2019-12-25 00:00:00,2019-12-25,1.006,1.023,0.998,1.012,5860100,5918638.0,0.003,0.297
515010,2019-12-26 00:00:00,2019-12-26,1.01,1.04,1.01,1.038,10259600,10533345.8,0.026,2.569
515010,2019-12-27 00:00:00,2019-12-27,1.033,1.049,1.016,1.018,20078000,20842574.0,-0.02,-1.927
515010,2019-12-30 00:00:00,2019-12-30,1.029,1.08,1.008,1.071,47784200,50466143.0,0.053,5.206
515010,2019-12-31 00:00:00,2019-12-31,1.065,1.076,1.058,1.066,10182100,10862466.1,-0.005,-0.467
515010,2020-01-02 00:00:00,2020-01-02,1.077,1.093,1.072,1.076,11208050,12140592.2,0.01,0.938
515010,2020-01-03 00:00:00,2020-01-03,1.068,1.082,1.066,1.071,6766150,7255211.8,-0.005,-0.465
515010,2020-01-06 00:00:00,2020-01-06,1.066,1.09,1.056,1.07,10751869,11556498.2,-0.001,-0.093
515010,2020-01-07 00:00:00,2020-01-07,1.067,1.085,1.063,1.08,5362961,5762373.9,0.01,0.935
515010,2020-01-08 00:00:00,2020-01-08,1.075,1.075,1.045,1.047,7082300,7492631.7,-0.033,-3.056
515010,2020-01-09 00:00:00,2020-01-09,1.057,1.071,1.057,1.061,4211100,4478092.4,0.014,1.337
515010,2020-01-10 00:00:00,2020-01-10,1.074,1.085,1.06,1.064,5682012,6083178.8,0.003,0.283
